refund_date,return_id,return_date_time,order_date_time,refund_reason,cancellation_source,Liability,return_status,cred_order_item_id,return_shipment_status,sku_id,product_name,product_id,family,order_status,merchant_sku,merchant_id,brand,gmv,GST rate,Seller final payout,warehouse_location_code,customer_pincode,awb,warehouse_pincode,fulfilment_type,final_reverse_shipment_cost_including_gst,courier_partner_name,courier_aggregator_name,zone,customer_state,warehouse_state,chargeable_weight_kg,chargeable_weight_kg_final,estimated_reverse_shipment_cost_including_gst
4/10/2024,,,4/4/2024,Fair usage policy breached,CRED,Merchant,,XQ83R8R602JP1,,1dc70fea-bf44-4a8b-9b9d-05b445968c19,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RTO,XTR-CAP-BG,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,279,0.05,179.6857143,XTR560036A,,,,MANAGED,,,,,,,0,0,0
4/9/2024,YZJ1ZJGY94G5J,4/8/2024,4/2/2024,Incorrect product,,Merchant,APPROVED,D5L5E2GW90XNJ,picked,1dc70fea-bf44-4a8b-9b9d-05b445968c19,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-BG,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,279,0.05,182.1257143,XTR560036A,122001,5861375912,560036,MANAGED,,EcomExpress Reverse Surface,CRED-3PL,C,HARYANA,KARNATAKA,0.6992,0.6992,118
4/1/2024,6D96P2Q8R3VE,3/31/2024,3/28/2024,Product received is different from the image shown,,Merchant,APPROVED,JN3WRE8X064V,in_transit,f74c678b-b708-4d5c-bdcf-5aee8c7b6921,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-BO,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,150.2571429,XTR560036A,769005,R816923129CRD,560036,MANAGED,,ShadowFax Reverse Qc,CRED-3PL,D,ODISHA,KARNATAKA,0.6992,0.6992,191
4/1/2024,942050DRXZRE,3/31/2024,3/28/2024,Product received is different from the image shown,,Merchant,APPROVED,44YJQ51PZ905,in_transit,1dc70fea-bf44-4a8b-9b9d-05b445968c19,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-BG,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,158.2571429,XTR560036A,600130,R816918978CRD,560036,MANAGED,,ShadowFax Reverse Qc,CRED-3PL,C,TAMIL NADU,KARNATAKA,0.6992,0.6992,165
4/1/2024,PRN38WQ85E1NN,3/31/2024,3/28/2024,Product received is different from the image shown,,Merchant,APPROVED,GGZDL08W9Y052,in_transit,1dc70fea-bf44-4a8b-9b9d-05b445968c19,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-BG,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,145.2871429,XTR560036A,132001,R816938749CRD,560036,MANAGED,,ShadowFax Reverse Qc,CRED-3PL,D,HARYANA,KARNATAKA,0.6992,0.6992,191
4/1/2024,RJ5Q6Q255V411,4/1/2024,3/28/2024,Found better price elsewhere,,Merchant,APPROVED,V0PWZX5YRV2W5,in_transit,1dc70fea-bf44-4a8b-9b9d-05b445968c19,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-BG,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,177.3771429,XTR560036A,560078,R817705627CRD,560036,MANAGED,,ShadowFax Reverse Qc,CRED-3PL,A,KARNATAKA,KARNATAKA,0.6992,0.6992,98
4/2/2024,RP0VZ6DJ3E96X,4/1/2024,3/28/2024,Product received is different from the image shown,,Merchant,APPROVED,9P88G134VX81E,delivered,e0768f9a-8329-4991-9f67-e326ccb99970,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-GRY,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,158.2571429,XTR560036A,411014,5857667939,560036,MANAGED,,EcomExpress Reverse QC Surface,CRED-3PL,C,MAHARASHTRA,KARNATAKA,0.8,0.8,118
4/2/2024,LRZEV2NQQQNPE,3/31/2024,3/28/2024,I have placed the order by mistake,CUSTOMER,Merchant,APPROVED,ZENYPE5V32VZ0,in_transit,e0768f9a-8329-4991-9f67-e326ccb99970,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-GRY,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,145.2871429,XTR560036A,390001,R815351678CRD,560036,MANAGED,,ShadowFax Reverse Qc,CRED-3PL,D,GUJARAT,KARNATAKA,0.8,0.8,191
4/2/2024,01J6Q4PJJ0N3,4/1/2024,3/28/2024,Product received is different from the image shown,,Merchant,APPROVED,QQV9062Z284YJ,in_transit,1dc70fea-bf44-4a8b-9b9d-05b445968c19,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-BG,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,153.2871429,XTR560036A,400607,R817826006CRD,560036,MANAGED,,ShadowFax Reverse Qc,CRED-3PL,C,MAHARASHTRA,KARNATAKA,0.6992,0.6992,118
4/2/2024,9EEZP8V30D899,4/2/2024,3/28/2024,Product received is different from the image shown,,Merchant,APPROVED,4NQWWWZR280JL,in_transit,1dc70fea-bf44-4a8b-9b9d-05b445968c19,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-BG,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,158.2571429,XTR560036A,110058,R817943398CRD,560036,MANAGED,,ShadowFax Reverse Qc,CRED-3PL,C,DELHI,KARNATAKA,0.6992,0.6992,118
4/2/2024,GYN23GJ0Q9V58,3/31/2024,3/28/2024,Product received is different from the image shown,,Merchant,APPROVED,J9R6WL59PVZ81,in_transit,1dc70fea-bf44-4a8b-9b9d-05b445968c19,unisex sports cap,ef5c7de8-ff6f-47ad-9c85-45874cb12113,fashion_93e,RETURNED,XTR-CAP-BG,5a4599bd-6546-4d92-a5d3-3a78fcaeb95c,xtrim,249,0.05,153.2871429,XTR560036A,122001,R816845540CRD,560036,MANAGED,,ShadowFax Reverse Qc,CRED-3PL,C,HARYANA,KARNATAKA,0.6992,0.6992,165
